No;Kode Dealer;Nama Dealer;Kode Main Dealer
1;15452;SAHABAT BERSAMA;M2Z
2;9492;CAHAYA MOTOR;M2Z
3;16651;UD. BAROKAH;M2Z
4;15451;UD. TANJUNG HARAPAN MOTOR;M2Z
5;17645;KURNIAWAN MOTOR;M2Z
6;4619;MULIA MOTOR I;J10
7;3184;ANUGRAH SEJAHTERA;J10
8;4639;MUTIARA MOTOR;I3Z
9;12594;RAMAYANA MITRA SEJAHTERA;I3Z
10;7243;CV. PELANGI;B3Z
11;13133;KURNIA PUTRA MANDIRI;B3Z
12;13867;AHASS DAYA MOTOR TALANG BANJAR;E20
13;2272;SAFARI SERVIS;C10
14;18831;BERUANG MAKMUR TERPADU;J10
15;12092;ROBINSON II;I3Z
16;18806;CV EKA KARUNIA SEJAHTERA ;M2Z
17;5693;CV SURYA MOTOR GEMOLONG;K0Z
18;7545;CDN - SO.KUTACANE;B3Z
19;6922;PANDAU JAYA MOTOR;D2Z
20;13528;PRIMA ZIRANG UTAMA;K0Z
21;9887;PT ASTRA INTERNATIONAL TBK - HONDA;Q01
22;15709;DAVI JAYA MOTOR;M3Z
23;1071;AHASS WARU JAYA III;M2Z
24;12046;SONI SAKTIE MOTOR;M2Z
25;7921;TITANIUM MOTOR;M2Z
26;1980;PERSADA MOTOR;M2Z
27;1466;MOJOPAHIT MOTOR II;M2Z
28;15592;DWI KARYA SWADAYA;B10
29;16780;SETIA JAYA MOTOR;M2Z
30;7998;GRINGGING MOTOR;M2Z
31;13077;FANTASI MOTOR;M2Z
32;15297;MUSTIKA MURTI MARTO;M2Z
33;14095;SIWALANKERTO MOTOR;M2Z
34;12006;CAHAYA ABADI;M2Z
35;8254;ANUGERAH GIRI MOTOR;M2Z
36;7464;CITRA LENCANA SAKTI PAMENANG;E20
37;7679;PUTRA SURYA JAYA RAYA;B10
38;7407;PHANTES;K0Z
39;18493;PATRIA ANUGRAH SENTOSA;E20
40;1264;MOTOR BATHARA SAKTI;K0Z
41;3488;CDN - SO.DUMAI;D2Z
42;18904;CV. TEGUH RAYA MOTOR;E20
43;18133;SENTOSA SAKTI MOTOR NIPAH PANJANG;E20
44;3530;CITRA KARYA INTISENTOSA II;E20
45;8631;SAHABAT JAYA SERVIS;B10
46;6278;WAHANAARTHA RITELINDO (BALARAJA);I3Z
47;17175;ANUGRAH MULIA;K0Z
48;4294;KICO JAYA MOTOR;I3Z
49;1746;HARAPAN MOTOR II;M2Z
50;4132;JAYA ABADI;K0Z
51;4989;SALES OFFICE VETERAN ;G01
52;986;CV SARI INDAH MOTOR;N01
53;9124;PT PATRIA ANUGRAH SENTOSA ;G02
54;166;ASAPARIS ;N01
55;5780;CV CEMERLANG MOTOR;N01
56;3749;PT ENAM TIGA SEJAHTERA;N01
57;966;CENDRAWASIH JAYA SAKTI;W01
58;8604;PRATAMA KURNIA KASIH;K0Z
59;15585;NUSANTARA SURYA SAKTI;W01
60;12646;KHARISMA PERKASA DEWATA;N01
61;6024;UTAMA MOTOR - CABANG;G01
62;17814;BINTANG HONDA MOTOR;B3Z
63;811;GRACIA SEJAHTERA ABADI;N01
64;9938;CV METEOR MOTOR;Q01
65;6020;UTAMA MOTOR;G02
66;13230;PT PANCA MOTOR JAYA;Q01
67;6879;PADOLO JAYA MOTOR;N02
68;1992;SUMBER HASIL ABADI;L01
69;18650;46 JAYA MOTOR;W01
70;15933;ARUI MAKMUR;Z11
71;7959;KHARISMA JAYA;K0Z
72;8996;CENTRAL SERVIS;E20
73;18881;PT MITRA PINASTIKA MUSTIKA;M2Z
74;9107;CV KALIOSO MOTOR;K0Z
75;6362;SINAR MULIA;K0Z
76;9200;SUMBER REZEKI MULIA;C3Z
77;4493;MEKAR ABADI MANUNGGAL JAYA;I3Z
78;353;WARU JAYA MOTOR I;M2Z
79;1305;PELITA MOTOR;M2Z
80;13205;SUMBER HARAPAN MOTOR;M2Z
81;1981;BERKAH JAYA MOTOR ;M2Z
82;4770;SEJAHTERA INTAN MOTORINDO;I3Z
83;1179;IMPRESSA MOTOR;M2Z
84;16794;CV. SENGKALING MOTOR;M3Z
85;18587;PATRIA MOTOR;M3Z
86;17010;DUNIA MOTOR;J10
87;18897;INTI ANUGRAH MOTOR;E20
88;10922;CV. SAHABAT SAHARA;J10
89;10194;ANUGERAH MOTOR;J10
90;1937;WIJAYA MOTOR;N01
91;6803;MIRAH MOTOR, CV;J10
92;7781;CITRA SENTOSA MOTOR MANDIANGIN;E20
93;2712;AGUNG MOTOR;M3Z
94;13959;PT SENTURI ULTRA DINAMIS II;D3Z
95;9280;SRIKANDI MOTOR;J10
96;17654;CITRA INDAH;J10
97;16175;SUMBER PURNAMA SAKTI;L01
98;7553;DADAP;I3Z
99;2752;SAM MOTOR;I3Z
100;15274;DAYA ANUGRAH MANDIRI;J10
101;17054;LARAS MOTOR;B10
102;10069;FESTIVAL;I3Z
103;2750;MEGAH JAYA MOTOR;I3Z
104;1243;RAJAWALI;I3Z
105;16855;RAJAWALI PUTRA;I3Z
106;13545;WAHANAARTHA RITELINDO (KLENDER);I3Z
107;8345;SATYA TARUNA;I3Z
108;6150;MITRA SERVIS;B10
109;1229;ANEKA MOTOR IV;I3Z
110;1010;HARAPAN;I3Z
111;8004;CIRACAS;I3Z
112;1283;SEMAR;I3Z
113;2513;PANDAN SURYA;I3Z
114;16692;SATYA ARTHA;I3Z
115;17537;BASSURA MOTOR;I3Z
116;9645;ANGKASA;I3Z
117;9455;ANDONG MOTOR;K0Z
118;927;ANEKA MOTOR;U10
119;12960;CAHAYA MOTOR;N01
120;16852;CV DJ DHARMA JAYA MOTOR;N01
121;12130;VALDA MOTOR;U10
122;15429;DAYA ANUGRAH MANDIRI;U10
123;7155;WANGUN MOTOR;U10
124;833;MULYA;I3Z
125;8685;AKBAR MOTOR SERVIS;B10
126;10305;BALIBO SERVIS;C3Z
127;4032;INDAKO TRADING COY;B10
128;2317;RIANTI MOTOR;N02
129;1895;SUMBER PURNAMA SAKTI;N02
130;556;UD. WIJAYA MOTOR;N02
131;18848;CV ANUGERAH PUTERA MAS;M2Z
132;2244;MUDA MOTOR;M2Z
133;1694;MANTAB;I3Z
134;8622;PRIMA MOTOR;T10
135;15968;TRIO MOTOR MARABAHAN;T10
136;16387;WAHANAARTHA RITELINDO (PINANG);I3Z
137;8149;MITRA IDEAL MOTOR;D3Z
138;15271;DAYA ANUGRAH MANDIRI;J10
139;8128;MUKTI QUSUMA;J10
140;5927;TUNAS SAKTI;I3Z
141;2765;AHASS BUGANGAN MOTOR;L01
142;12198;HH SERVICE;D2Z
143;18180;PATRIA ANUGRAH SENTOSA;E20
144;16904;CHACA MOTOR;D2Z
145;18896;ANEKA MOTOR VARIASI;W01
146;18895;BOLONG RAYA MOTOR;W01
147;8178;SAHABAT MOTOR;D2Z
148;8975;NUSANTARA SURYA SAKTI;U10
149;8978;WANUA MOTOR;U10
150;2703;PT HARAPAN UTAMA MAKMUR;R4Z
151;7629;BUMI PERKASA MOTOR;M2Z
152;17545;JAUHAR MOTOR;M2Z
153;18783;DINA MOTOR;M2Z
154;1499;PUTRA MERDEKA;M2Z
155;1479;AHASS JAYA UTAMA;M2Z
156;13709;GITA MOTOR;M2Z
157;796;SETIA BUDI MOTOR;M2Z
158;15440;HARAPAN MAKMUR;M2Z
159;15030;SURYA DUA RIBU MOTOR;M2Z
160;10919;CAHAYA UNGGUL NUSANTARA, PT.;M2Z
161;8408;TEGUH MOTOR;M2Z
162;8255;PT SEGORO MADU;M2Z
163;17979;KHARISMA MOTOR;M3Z
164;13765;SUMBER BAHAGIA MOTOR;M3Z
165;2051;SINAR INDAH MOTOR;M3Z
166;15516;ASIA GONDANGLEGI;M3Z
167;18648;ELA MOTOR;D2Z
168;17815;UTAMA SERVICE CENTER;L01
169;1303;KURNIA JAYA MOTOR;L01
170;8639;GAMA TUGU MOTOR;L01
171;6846;UD. SURYA MOTOR;R5Z
172;17826;SUKARAJA MOTOR;J10
173;8818;JOJO MOTOR;G02
174;2178;SISKA MOTOR;G02
175;13733;ANUGERAH MOTOR;M2Z
176;2005;SAKTI MOTOR;M2Z
177;9661;BAGONG MOTOR;M2Z
178;13717;CV SANTO GANGSAR PERKASA;M2Z
179;16409;CV BINTANG MOTOR SAKTI;M2Z
180;13423;CEMPAKA JAYA MOTOR;M2Z
181;15229;CAHAYA ABADI II;M2Z
182;8338;BRENGGOLO MOTOR;M2Z
183;6918;SS. TONGAN PUTRA;M3Z
184;15278;CV PUTRA JAYYA;M3Z
185;18210;AMALIA MOTOR;M2Z
186;13832;FORTUNE MOTOR;M2Z
187;2242;JATIGUWI MOTOR;M3Z
188;15892;TUNAS DWIPA MATRA;H2Z
189;2791;HAMPARANORION HASILOPTIMAL;D2Z
190;17834;PT PRIMA SUKSES MOTOR;I3Z
191;7786;TEGAR JAYA SERVIS;B10
192;13605;BERKAT MULIA;G01
193;8814;RODAS SEJAHTERA MOTOR;G01
194;7281;UD. S.PARMAN MOTOR;R5Z
195;12633;CV BERKAH JAYA;J10
196;8914;FAJAR MOTOR SERVIS;B10
197;1158;JOHOR SERVIS;B10
